"id","year","semester","course_code","course_name","type","credits","created_at"
"1","1","1","MAL103","Calculus for Engineers","BS","4","2025-05-27 10:26:12.734426"
"2","1","1","CSL106","Introduction to Gaming","DC","2","2025-05-27 10:26:12.734426"
"3","1","1","CSL101","Computer Programming","DC","4","2025-05-27 10:26:12.734426"
"4","1","1","BEL101","Mechanics & Graphics","ES","4","2025-05-27 10:26:12.734426"
"5","1","1","SAP101","Health, Sports & Safety","HU","0","2025-05-27 10:26:12.734426"
"6","1","1","HUL101","Communication Skills","HU","3","2025-05-27 10:26:12.734426"
"7","1","1","CSL107","Introduction to HCI","DC","2","2025-05-27 10:26:12.734426"
"8","1","2","MAL104","Matrices, Transform Techniques, and Differential Equations","BS","4","2025-05-27 10:26:12.734426"
"9","1","2","ASL103","Applied Physics for Gaming","BS","3","2025-05-27 10:26:12.734426"
"10","1","2","CSL102","Data Structures","DC","4","2025-05-27 10:26:12.734426"
"11","1","2","CSL103","Application Programming","DC","4","2025-05-27 10:26:12.734426"
"12","1","2","CSL108","Game Development Design Thinking","DC","2","2025-05-27 10:26:12.734426"
"13","1","2","HUL102","Environmental Studies","HU","0","2025-05-27 10:26:12.734426"
"14","1","2","ECL103","Applied Electronics","ES","4","2025-05-27 10:26:12.734426"
"15","2","3","CSL204","Discrete Maths & Graph Theory","DC","4","2025-05-27 10:26:12.734426"
"16","2","3","CSL211","Gamification for Learning","DC","3","2025-05-27 10:26:12.734426"
"17","2","3","CSL202","Introduction to Object Oriented Programming","DC","4","2025-05-27 10:26:12.734426"
"18","2","3","CSL212","Computer Architecture and Organization","DC","3","2025-05-27 10:26:12.734426"
"19","2","3","CSL210","Data Structures With Applications","DC","3","2025-05-27 10:26:12.734426"
"20","2","3","CSP201","IT Workshop - I","DC","2","2025-05-27 10:26:12.734426"
"21","2","4","CSL205","Design & Analysis of Algorithms","DC","4","2025-05-27 10:26:12.734426"
"22","2","4","CSL207","Operating Systems","DC","4","2025-05-27 10:26:12.734426"
"23","2","4","CSL432","Human Computer Interaction","DC","3","2025-05-27 10:26:12.734426"
"24","2","4","CSL213","Software Engineering and Game Testing","DC","3","2025-05-27 10:26:12.734426"
"25","2","4","MAL201","Numerical Methods and Probability Theory","DC","4","2025-05-27 10:26:12.734426"
"26","2","4","CSP202","IT Workshop - II","DC","2","2025-05-27 10:26:12.734426"
"27","3","5","CSL302","Computer Networks","DC","4","2025-05-27 10:26:12.734426"
"28","3","5","CSL431","Computer Graphics","DC","3","2025-05-27 10:26:12.734426"
"29","3","5","CSL303","Theory of Computation","DC","4","2025-05-27 10:26:12.734426"
"30","3","5","CSL306","UI and UX Design","DC","4","2025-05-27 10:26:12.734426"
"31","3","5","CSL301","Database Management Systems","DC","4","2025-05-27 10:26:12.734426"
"32","3","6","CSL307","Augmented & Virtual Reality","DC","4","2025-05-27 10:26:12.734426"
"33","3","6","CSL308","Computer Vision Techniques","DC","4","2025-05-27 10:26:12.734426"
"34","3","6","CSL309","GPU Computing","DC","3","2025-05-27 10:26:12.734426"
