TT - odd sem 2025-2026.xlsx : Class Occupancy-odd sem final,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,"?????? ????? ???????????? ???????, ??????.",,,,,,,,,,,,
,,,,,,"Indian Institute of Information Technology, Nagpur.",,,,,,,,,,,,
,,,,,,???? 2025-26 ?? ???? ???????? ?? ????????? ?? ??? ??????? ??? ??????,,,,,,,,,,,,
,,,,,,Institute Time Table for Lectures of Odd Semester of Session 2025-26.,,,,,,,,,,,,
,,,,,,Semester,,,,,,,,,,,,
,,,,Branch,Section,I,,III,,V,,VII,,,,,,
,,,,,,First Half,Second Half,First Half,Second Half,First Half,Second Half,First Half,Second Half,,,,,
,,,,CSE,A,HALL-1,,,CR-307,,CR-306,,CR-302,,,,,
,,,,,B,,HALL-1,CR-307,,CR-306,,,CR-303,,,,,
,,,,,C,HALL-2,,,CR-204,CR-204,,,,,,,,
,,,,CSE-AIML,,,HALL-2,CR-203,,,CR-203,CR-303,,,,,,
,,,,CSE-DS,,,CR-102,CR-102,,,CR-305,CR-303,,,,,,
,,,,CSE-HCIGT,,CR-304,,,CR-304,CR-001,,CR-101,,,,,,
,,,,ECE,A,CR-201,,,CR-202,,CR-301,CR-002,,,,,,
,,,,,B,,CR-201,CR-202,,CR-302,,CR-002,,,,,,
,,,,ECE-IoT,,,CR-101,CR-305,,CR-301,,,CR-002,,,,,
,,,,ALA in 102,OT in 203,"TC in 301: 12 to 1 - CSE V A, AIML, DSA",DW in Seminar Hall,PG & D in 302,PI in 201,IC Fab in 002,DIP in 301,ROB in 002,"CCN in 002, Opti in 002",,,,,
,,,,,,"CSE VII A, B, C, HCI",,PE in 303,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,"TC in 301: 8 to 9 - CSE V - B,C, HCI",,,,,,,,,,,,
,,,,,,"CSE VII AIML, DSA",,,,,,,,,,,,
,Classroom No.,Days,,8:00-8:55 AM,9:00-9:55 AM,10.00-10.55 AM,11.00-11.55 AM,12.00-12.55 PM,1.00-1.55 PM,2.00-2.55 PM,3.00-3.55 PM,4.00-4.55 PM,5.00-5.55 PM,,,,,
,CR-002,Monday,,,,,CCN,,,Opti,Sat comm,,,,,,,
,,Tuesday,,,,,IS / NLUG,,,Sat comm,Opti,,,,,,,
,,Wednesday,,,,IC Fab,CCN,,,,,,,,,,,
,,Thursday,,,,IS / NLUG,,IC Fab,,,Sat comm,,,,,,,
,,Friday,,,,CCN,IC Fab,IS /NLUG,,,Opti,,,,,,,
,CR-001,Monday,,,CG,TOC,TOC Tut,,,,,,,,,,,
,,Tuesday,,,TOC,CN,TOC Tut,,,,,,,,,,,
,,Wednesday,,,UIUX,TOC,CN,,,,,,,,,,,
,,Thursday,,,UIUX,CN,CG,DBMS,,,,,,,,,,
,,Friday,,,CG,DBMS,UIUX,DBMS,,,,,,,,,,
,CR-101,Monday,,,THCI,CF in 303,ID,Open Course,,Opti / MWD,SAT / SABA (D),,,,,,,
,,Tuesday,,,,CF in 303,,Open Course,,SAT / SABA,Opti / MWD,,,,,,,
,,Wednesday,,,,CF in 303,,Open Course,,,,,,,,,,
,,Thursday,,,,THCI,ID,,,,SAT / SABA,,,,,,,
,,Friday,,,,THCI,ID,,,,Opti / MWD,,,,,,,
,CR-102,Monday,,,IOOP,DHV,DMGT,ALA,,,,,,,,,,
,,Tuesday,,,,DSA,APB,ALA,,,,,,,,,,
,,Wednesday,,,DMGT Tut,APB,DMGT,ALA,,,,,,,,,,
,,Thursday,,,IOOP,DSA,DMGT,APB-Tute-DSA1,,,,,,,,,,
,,Friday,,,APB,DMGT Tut,IOOP,APB-Tute-DSA2,,,,,,,,,,
,CR-201,Monday,,,,,ROB,,,,,,,,,,,
,,Tuesday,,,,,,,,,,,,,,,,
,,Wednesday,,,,PI,ROB,,,,,,,,,,,
,,Thursday,,,,,,PI,,,,,,,,,,
,,Friday,,,,ROB,PI,,STE (CSA-VII),,,,,,,,,
,CR-202,Monday,,,M&I (F),NT,AIC,B,S&S,M&I,AIC,S&S,,,,,,
,,Tuesday,,,NMPT (H),,S&S,R,NMPT,NMPT,AIC,,NMPT (H),,,,,
,,Wednesday,,,M&I (F),NT,AIC,E,,M&I,NT,S&S,,,,,,
,,Thursday,,,,,S&S,A,NMPT,S&S,M&I,NT,NMPT (H),,,,,
,,Friday,,,M&I (F),NT,AIC,K,,AIC,NT,,,,,,,
,CR-203,Monday,,,DMGT,FOC,IOOP,OT,,CVT,AI,CN,,,,,,
,,Tuesday,,IE,CSO,IOOP,DMGT,OT,,NLP,CVT,,,,,,,
,,Wednesday,,DMGT Tut,CSO,DSA,FOC,OT,,CVT,CN,,,,,,,
,,Thursday,,,CSO,DSA,IOOP,,,AI,NLP,CN,,,,,,
,,Friday,,IE,,FOC,DMGT,DMGT Tut,,AI,NLP,,,,,,,
,CR-204,Monday,,,DBMS,TOC,,,,IOOP,NMPT,CSO,M&I,,,,,
,,Tuesday,,,CC,TOC,CN,,,CSO,NMPT -Tute-C1,DSA,,,,,,
,,Wednesday,,,TOC tut,TOC,,,,NMPT,M&I,IOOP,,,,,,
,,Thursday,,,CN,DBMS,TOC tut,CC,,M&I,CSO,NMPT,,,,,,
,,Friday,,,CC,,DBMS,CN,,DSA,NMPT -Tute-C2,IOOP,,,,,,
,CR-301,Monday,,TC,EMBSD,CMOS,DIP,TC,,IOOP,EMBS,W&A,,,,,,
,,Tuesday,,TC,,EMBSD,COMNT,TC,,IOOP,HDL,DC,,,,,,
,,Wednesday,,TC,COMNT,PI / IC Fab,DIP,TC,,,EMBS,DC,IOOP,,,,,
,,Thursday,,,COMNT,EMBSD,CMOS,PI / IC Fab,,,W&A,EMBS,HDL,,,,,
,,Friday,,,,DIP,PI / IC Fab,CMOS,,,HDL,DC,W&A,,,,,
,CR-302,Monday,,,,,IOOP,B,EMBS,NNDL,,,,,,,,
,,Tuesday,,,IOOP,HDL,DC,R,W&A,HCI (VII),NNDL,,,,,,,
,,Wednesday,,,,,DC,E,EMBS,PG&D (VII),DCS,,,,,,,
,,Thursday,,,IOOP,HDL,DC,A,W&A,PG&D (VII),NNDL,,,,,,,
,,Friday,,,HDL,W&A,EMBS,K,,PG&D (VII),,,,,,,,
,CR-303,Monday,,,,CF (CSE/AIML/HCI),GPU (AIML/DSA),PE,,,,,AI(HCI),,,,,
,,Tuesday,,,,CF (CSE/AIML/HCI),Gen AI (AIML/DSA),PE,,,,,AI(HCI),,,,,
,,Wednesday,,,,CF (CSE/AIML/HCI),,PE,,,,IPC,AI(HCI),,,,,
,,Thursday,,,,BI,Gen AI (AIML/DSA),,,,,IPC,,,,,,
,,Friday,,,Gen AI (AIML/DSA),GPU (AIML/DSA),BI,BI,,,,IPC,,,,,,
,CR-304,Monday,,,,,,,,DMGT,CAO,IOOP,,,,,,
,,Tuesday,,,,,,,,IOOP,DMGT,GL,,,,,,
,,Wednesday,,,,,,,,CAO,DSA,GL,,,,,,
,,Thursday,,,,,,,,IOOP,GL,CAO,DMGT Tut,,,,,
,,Friday,,,,,,,,DMGT,DSA,DMGT Tut,,,,,,
,CR-305,Monday,,,,EFT,S&T,B,AS&S,DBMS,AI,ML (DSA/HCIGT),,,,,,
,,Tuesday,,,,PTIoT,IOOP,R,S&T,CN,AI,ML (DSA/HCIGT),,,,,,
,,Wednesday,,,,S&T,PTIoT,E,AS&S,DBMS,DPS,ML (DSA/HCIGT),,,,,,
,,Thursday,,,,PTIoT,IOOP,A,EFT,CN,DBMS,DPS,,,,,,
,,Friday,,,,IOOP,EFT,K,AS&S,AI,CN,DPS,,,,,,
,CR-306,Monday,,,CN,TOC,,,,CC,CN,DBMS,,,,,,
,,Tuesday,,,CC,TOC,DBMS,,,TOC,CC,TOC tut,,,,,,
,,Wednesday,,,CN,CC,,,,DBMS,CN,CC,,,,,,
,,Thursday,,,DBMS,CC,CN,TOC tut,,TOC,CN,,,,,,,
,,Friday,,,DBMS,,TOC,TOC tut,,DBMS,TOC,TOC tut,,,,,,
,CR-307,Monday,,,,DSA,CSO,Tute (NMPT-Batch-1),,IOOP,CSO,,,,,,,
,,Tuesday,,,,IOOP,NMPT,M&I,,CSO,NMPT,,,,,,,
,,Wednesday,,,,Tute (NMPT-Batch-2),IOOP,M&I,,DSA,M&I,Tute (NMPT-Batch-1),,,,,,
,,Thursday,,,NMPT,CSO,IOOP,M&I,,NMPT,DSA,CSO,,,,,,
,,Friday,,,,DSA,CSO,NMPT,,Tute (NMPT-Batch-2),M&I,M&I,NMPT,,,,,
,Seminar Hall,Monday,,,,,,DW,,,,,,,,,,
,,Tuesday,,,,,,DW,,,,,,,,,,
,,Wednesday,,,,,,DW,,,,,,,,,,
,,Thursday,,,,,,,,,,,,,,,,
,,Friday,,,,,,,,,,,,,,,,
,Hall-1,Monday,,,,,,,,,,,,,,,,
,,Tuesday,,,,,,,,,,,,,,,,
,,Wednesday,,,,,,,,,,,,,,,,
,,Thursday,,,,,,,,,,,,,,,,
,,Friday,,,,,,,,,,,,,,,,
,Hall-2,Monday,,,,,,,,,,,,,,,,
,,Tuesday,,,,,,,,,,,,,,,,
,,Wednesday,,,,,,,,,,,,,,,,
,,Thursday,,,,,,,,,,,,,,,,
,,Friday,,,,,,,,,,,,,,,,
,CR Exam,Monday,,,,,,,,,,,,,,,,
,Ground Floor,Tuesday,,,,,,,,,,,,,,,,
,,Wednesday,,,,,,,,,,,,,,,,
,,Thursday,,,,,,,,,,,,,,,,
,,Friday,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Published by Google Sheets–Report Abuse–Updated automatically every 5 minutes,,,,,,,,,,,,,,,,,,
